Transaction_Date,Posting_Date,Description,Transaction_Type,Merchant_Category,Amount,Location,Balance_After
2025-07-01,2025-07-01,SALARY FROM ACME MARKETING LTD,DIRECT CREDIT,Income,2500.00,London,2500.00
2025-07-02,2025-07-03,TESCO STORES 4567 LONDON POS,POS,Groceries,-45.67,London SW1A,2454.33
2025-07-03,2025-07-03,LONDON UNDERGROUND OYSTER TOP-UP,POS,Transport,-20.00,London,2434.33
2025-07-04,2025-07-04,PRET A MANGER COFFEE,POS,Dining,-3.50,London EC2,2430.83
2025-07-05,2025-07-05,AMAZON UK MARKETPLACE,ONLINE,Retail,-12.99,Online,2417.84
2025-07-06,2025-07-06,BRITISH GAS ELECTRICITY DD,DIRECT DEBIT,Utilities,-65.00,,2352.84
2025-07-07,2025-07-07,UBER TRIP LONDON,POS,Transport,-15.40,London,2337.44
2025-07-08,2025-07-08,SAINSBURYS S/MKT 7890,POS,Groceries,-32.15,London NW1,2305.29
2025-07-09,2025-07-09,NETFLIX SUBSCRIPTION,ONLINE,Entertainment,-15.99,,2289.30
2025-07-10,2025-07-10,COSTA COFFEE,POS,Dining,-4.20,London,2285.10
2025-07-11,2025-07-11,ATM WITHDRAWAL BARCLAYS LONDON,ATM,Cash,-50.00,London SE1,2235.10
2025-07-12,2025-07-12,NANDO'S RESTAURANT,POS,Dining,-18.75,London,2216.35
2025-07-13,2025-07-13,THAMES WATER DD,DIRECT DEBIT,Utilities,-28.00,,2188.35
2025-07-14,2025-07-14,BOOTS PHARMACY,POS,Health,-7.89,London,2180.46
2025-07-15,2025-07-15,TRAINLINE TICKET TO MANCHESTER,ONLINE,Transport,-45.00,,2135.46
2025-07-16,2025-07-16,SPOTIFY SUBSCRIPTION,ONLINE,Entertainment,-9.99,,2125.47
2025-07-17,2025-07-17,MARKS AND SPENCER FOOD,POS,Groceries,-22.30,London W1,2103.17
2025-07-18,2025-07-18,CINEWORLD CINEMA TICKETS,POS,Entertainment,-24.00,London,2079.17
2025-07-19,2025-07-19,VIRGIN MEDIA BROADBAND DD,DIRECT DEBIT,Utilities,-45.00,,2034.17
2025-07-20,2025-07-20,DELIVEROO ORDER PIZZA,ONLINE,Dining,-28.50,,2005.67
2025-07-21,2025-07-21,SUPERDRUG STORES,POS,Health,-5.60,London,2000.07
2025-07-22,2025-07-22,LLOYDS BANK TRANSFER TO SAVINGS,TRANSFER,Savings,-200.00,,1800.07
2025-07-23,2025-07-23,GREGGS BAKERY,POS,Dining,-2.80,London,1797.27
2025-07-24,2025-07-24,AMAZON REFUND FOR RETURNED ITEM,DIRECT CREDIT,Retail,12.99,Online,1810.26
2025-07-25,2025-07-25,TFL BUS FARE,POS,Transport,-1.50,London,1808.76
2025-07-26,2025-07-26,WAITROSE & PARTNERS,POS,Groceries,-38.45,London SW7,1770.31
2025-07-27,2025-07-27,STARBUCKS COFFEE,POS,Dining,-4.10,London,1766.21
2025-07-28,2025-07-28,COUNCIL TAX LONDON BOROUGH DD,DIRECT DEBIT,Utilities,-120.00,,1646.21
2025-07-29,2025-07-29,UBER EATS ORDER,ONLINE,Dining,-19.95,,1626.26
2025-07-30,2025-07-30,H&M CLOTHING ONLINE,ONLINE,Retail,-35.00,,1591.26
2025-07-31,2025-07-31,GYM MEMBERSHIP PLANET FITNESS DD,DIRECT DEBIT,Health,-25.00,,1566.26
2025-08-01,2025-08-01,SALARY FROM ACME MARKETING LTD,DIRECT CREDIT,Income,2500.00,London,4066.26
2025-08-02,2025-08-03,TESCO EXPRESS LONDON,POS,Groceries,-18.90,London E1,4047.36
2025-08-03,2025-08-03,LONDON TUBE TOP-UP,POS,Transport,-20.00,London,4027.36
2025-08-04,2025-08-04,PRET SANDWICH,POS,Dining,-5.25,London,4022.11
2025-08-05,2025-08-05,ASOS ONLINE PURCHASE,ONLINE,Retail,-42.00,,3980.11
2025-08-06,2025-08-06,BRITISH GAS GAS DD,DIRECT DEBIT,Utilities,-50.00,,3930.11
2025-08-07,2025-08-07,UBER RIDE TO MEETING,POS,Transport,-12.30,London,3917.81
2025-08-08,2025-08-08,SAINSBURYS LOCAL,POS,Groceries,-27.65,London,3890.16
2025-08-09,2025-08-09,DISNEY+ SUBSCRIPTION,ONLINE,Entertainment,-7.99,,3882.17
2025-08-10,2025-08-10,COSTA DRIVE-THRU,POS,Dining,-3.80,London,3878.37
2025-08-11,2025-08-11,ATM CASH OUT HSBC,ATM,Cash,-100.00,London WC2,3778.37
2025-08-12,2025-08-12,WAGAMAMA DINNER,POS,Dining,-22.50,London,3755.87
2025-08-13,2025-08-13,THAMES WATER BILL DD,DIRECT DEBIT,Utilities,-28.00,,3727.87
2025-08-14,2025-08-14,BOOTS OPTICIANS,POS,Health,-15.00,London,3712.87
2025-08-15,2025-08-15,EUROTUNNEL TICKET TO PARIS,ONLINE,Transport,-120.00,,3592.87
2025-08-16,2025-08-16,APPLE MUSIC SUB,ONLINE,Entertainment,-9.99,,3582.88
2025-08-17,2025-08-17,M&S SIMPLY FOOD,POS,Groceries,-19.20,London,3563.68
2025-08-18,2025-08-18,ODEON CINEMA,POS,Entertainment,-18.00,London,3545.68
2025-08-19,2025-08-19,VIRGIN MEDIA DD,DIRECT DEBIT,Utilities,-45.00,,3500.68
2025-08-20,2025-08-20,JUST EAT TAKEAWAY,ONLINE,Dining,-25.75,,3474.93
2025-08-21,2025-08-21,HOLLAND & BARRETT,POS,Health,-8.40,London,3466.53
2025-08-22,2025-08-22,TRANSFER TO ISA SAVINGS,TRANSFER,Savings,-200.00,,3266.53
2025-08-23,2025-08-23,GREGGS PASTY,POS,Dining,-2.50,London,3264.03
2025-08-24,2025-08-24,ASOS REFUND CREDIT,DIRECT CREDIT,Retail,42.00,Online,3306.03
2025-08-25,2025-08-25,TFL CYCLE HIRE,POS,Transport,-2.00,London,3304.03
2025-08-26,2025-08-26,ALDI UK,POS,Groceries,-41.80,London,3262.23
2025-08-27,2025-08-27,STARBUCKS DRIVE-THRU,POS,Dining,-4.50,London,3257.73
2025-08-28,2025-08-28,COUNCIL TAX DD,DIRECT DEBIT,Utilities,-120.00,,3137.73
2025-08-29,2025-08-29,DELIVEROO SUSHI,ONLINE,Dining,-21.60,,3116.13
2025-08-30,2025-08-30,ZARA CLOTHING,POS,Retail,-50.00,London,3066.13
2025-08-31,2025-08-31,FITNESS FIRST GYM DD,DIRECT DEBIT,Health,-25.00,,3041.13
2025-09-01,2025-09-01,SALARY FROM ACME MARKETING LTD,DIRECT CREDIT,Income,2500.00,London,5541.13
2025-09-02,2025-09-03,TESCO METRO,POS,Groceries,-23.45,London,5517.68
2025-09-03,2025-09-03,OYSTER CARD AUTO TOP-UP,POS,Transport,-20.00,London,5497.68
2025-09-04,2025-09-04,PRET BREAKFAST,POS,Dining,-4.75,London,5492.93
2025-09-05,2025-09-05,EBAY PURCHASE GADGET,ONLINE,Retail,-30.00,,5462.93
2025-09-06,2025-09-06,EDF ENERGY DD,DIRECT DEBIT,Utilities,-70.00,,5392.93
2025-09-07,2025-09-07,UBER AIRPORT TRANSFER,POS,Transport,-35.00,London Heathrow,5357.93
2025-09-08,2025-09-08,SAINSBURYS SUPERSTORE,POS,Groceries,-48.20,London,5309.73
