Transaction_Date,Posting_Date,Description,Transaction_Type,Merchant_Category,Amount,Location,Balance_After
2025-09-01,2025-09-01,Tuition Fee Instalment,Direct Debit,Education,-1500.00,"Manchester, UK",2500.00
2025-09-02,2025-09-03,Tesco Express Groceries,Card Payment,Groceries,-32.50,"Manchester, UK",2467.50
2025-09-03,2025-09-04,Parental Support,Bank Giro Credit,Income,100.00,UK,2567.50
2025-09-04,2025-09-05,The Font Bar,Card Payment,Entertainment,-45.00,"Manchester, UK",2522.50
2025-09-05,2025-09-06,Amazon - Textbooks,Card Payment,Education,-85.00,Online,2437.50
2025-09-06,2025-09-07,Fifth Nightclub,Card Payment,Entertainment,-60.00,"Manchester, UK",2377.50
2025-09-08,2025-09-09,Costa Coffee,Card Payment,Dining,-8.50,"Manchester, UK",2369.00
2025-09-10,2025-09-11,Parental Support,Bank Giro Credit,Income,100.00,UK,2469.00
2025-09-11,2025-09-12,Sainsbury’s Groceries,Card Payment,Groceries,-40.00,"Manchester, UK",2429.00
2025-09-12,2025-09-13,Revolution Bar,Card Payment,Entertainment,-55.00,"Manchester, UK",2374.00
2025-09-13,2025-09-14,Uber - Night Out,Card Payment,Transportation,-12.00,"Manchester, UK",2362.00
2025-09-15,2025-09-16,Spotify Subscription,Direct Debit,Entertainment,-9.99,Online,2352.01
2025-09-17,2025-09-18,Parental Support,Bank Giro Credit,Income,100.00,UK,2452.01
2025-09-18,2025-09-19,Greggs,Card Payment,Dining,-7.80,"Manchester, UK",2444.21
2025-09-19,2025-09-20,Factory Nightclub,Card Payment,Entertainment,-65.00,"Manchester, UK",2379.21
2025-09-20,2025-09-21,Train Ticket to London,Card Payment,Transportation,-45.00,"Manchester, UK",2334.21
2025-09-24,2025-09-25,Parental Support,Bank Giro Credit,Income,100.00,UK,2434.21
2025-09-25,2025-09-26,Aldi Groceries,Card Payment,Groceries,-38.50,"Manchester, UK",2395.71
2025-09-26,2025-09-27,Tiger Tiger Club,Card Payment,Entertainment,-50.00,"Manchester, UK",2345.71
2025-09-27,2025-09-28,Domino’s Pizza,Card Payment,Dining,-22.00,"Manchester, UK",2323.71
2025-10-01,2025-10-02,Student Accommodation Rent,Direct Debit,Housing,-600.00,"Manchester, UK",1723.71
2025-10-02,2025-10-03,Parental Support,Bank Giro Credit,Income,100.00,UK,1823.71
2025-10-03,2025-10-04,The Deaf Institute,Card Payment,Entertainment,-48.00,"Manchester, UK",1775.71
